lat,lng,alt
42.5478002963, -83.1208553186, 198.90633107
42.5478516508, -83.1208882989, 198.900719475
42.5479058466, -83.120920166, 198.89175053
42.547966337, -83.1209485974, 198.877466669
42.5480354975, -83.1209783989, 198.745014437
42.5481136847, -83.1210136912, 198.764212327
42.548196085, -83.12105374, 198.638562384
42.5482767713, -83.1210953381, 198.540220371
42.5483526526, -83.1211351098, 198.572016087
42.5484190936, -83.1211752172, 198.459469494
42.5484706826, -83.121226391, 198.49449546
42.5484972435, -83.1212963565, 198.500172235
42.5484984777, -83.121371552, 198.492787309
42.548484508, -83.1214238241, 198.485239015
42.548469971, -83.121442741, 198.488416371
42.5484582065, -83.1214562578, 198.500312404
42.5484403552, -83.121474059, 198.509149162
42.5484041955, -83.1214917042, 198.505975982
42.5483492179, -83.1214853118, 198.495826844
42.5482879467, -83.1214499289, 198.494012686
42.5482238434, -83.1213999398, 198.499035557
42.5481516674, -83.1213492744, 198.502663431
42.5480662713, -83.121302425, 198.501257133
42.5479667641, -83.1212558925, 198.495928096
42.5478587162, -83.1212042413, 198.492103311
42.5477449966, -83.1211508451, 198.487760863
42.5476242728, -83.121100025, 198.472921499
42.5474959121, -83.121050808, 198.329282777
42.5473603416, -83.1210011254, 198.217332523
42.5472184542, -83.1209497344, 198.12577676
42.5470752564, -83.120898241, 198.170821685
42.5469291399, -83.1208532577, 198.187536078
42.5467779744, -83.120814332, 198.189028719
42.5466219064, -83.1207757571, 198.177600096
42.5464612377, -83.1207377768, 198.042054138
42.5462960996, -83.1207080752, 198.05284539
42.5461296265, -83.1206810342, 197.91902747
42.54596782, -83.1206574254, 197.818004615
42.5458111355, -83.1206434313, 197.844768163
42.5456623404, -83.1206443725, 197.722202865
42.545525622, -83.1206513201, 197.633137717
42.5453979009, -83.1206515185, 197.678148987
42.5452770148, -83.1206493537, 197.695685503
42.5451567227, -83.1206481678, 197.696977905
42.5450368172, -83.1206477365, 197.688357255
42.5449142326, -83.1206456884, 197.558418456
42.5447888776, -83.1206427706, 197.586035494
42.5446596734, -83.1206380174, 197.594699093
42.5445277088, -83.120632565, 197.597514611
42.5443933397, -83.120628001, 197.598286151
42.5442562431, -83.1206234753, 197.597063725
42.5441172341, -83.1206180904, 197.594153089
42.5439787314, -83.1206146383, 197.590026756
42.5438419103, -83.1206111783, 197.579485921
42.5437054675, -83.1206087139, 197.447025988
42.5435693229, -83.1206076514, 197.464551313
42.5434317472, -83.120603504, 197.341010316
42.5432949209, -83.1205970814, 197.363079158
42.5431570863, -83.1205925335, 197.244382445
42.5430202226, -83.1205877361, 197.275153261
42.5428832861, -83.120580626, 197.278671973
42.5427440578, -83.1205767473, 197.256340591
42.5426022127, -83.1205723445, 196.984615573
42.5424593479, -83.1205665141, 196.904508042
42.5423194722, -83.1205645293, 196.937272204
42.5421833613, -83.1205610968, 196.808642908
42.5420571656, -83.1205544075, 196.702386514
42.5419485208, -83.120547011, 196.618146655
42.5418632561, -83.120532388, 196.671055439
42.5417923486, -83.1205158727, 196.688661062
42.5417333492, -83.120507269, 196.689045874
42.5416856143, -83.1205044556, 196.573386619
42.5416494193, -83.1205034811, 196.733642485
42.5416212469, -83.1205020971, 196.715556796
42.5415959258, -83.1205008129, 196.702070889
42.5415735624, -83.1205001484, 196.685352513
42.5415587396, -83.1204995333, 196.556826134
42.5415503344, -83.120499111, 196.588319957
42.5415408172, -83.1204987897, 196.594865238
42.5415266077, -83.1204986101, 196.583638544
42.5415047654, -83.1204980273, 196.444206783
42.5414793508, -83.1204969126, 196.454476673
42.5414641929, -83.1204967269, 196.339470279
42.5414625262, -83.1204964582, 196.382237809
42.5414615079, -83.1204967623, 196.393495586
42.5414550306, -83.120496805, 196.382199567
42.541447322, -83.1204965827, 196.250778681
42.5414439645, -83.1204966552, 196.281640181
42.5414432852, -83.1204966707, 196.294353987
42.541443721, -83.1204969835, 196.299257645
42.5414442547, -83.1204974932, 196.300787415
42.5414445963, -83.1204978272, 196.301274051
42.5414443201, -83.1204981693, 196.301535835
42.5414440139, -83.1204987944, 196.303338746
42.5414420543, -83.1204986839, 196.305664645
42.5414360853, -83.1204990832, 196.308165343
42.5414204023, -83.1204981683, 196.3066787
42.541390273, -83.1204974868, 196.29910939
42.5413513975, -83.1204960388, 196.293135295
42.5413075012, -83.1204947096, 196.288132909
42.5412673737, -83.12049351, 196.288557534
42.5412306263, -83.1204919579, 196.284598294
42.5411883643, -83.1204903632, 196.153950694
42.5411396528, -83.1204888583, 196.175013691
42.5410917451, -83.1204880047, 196.178495504
42.5410483344, -83.1204868737, 196.170366167
42.5410163313, -83.1204863725, 196.047157785
42.5409959266, -83.1204854824, 196.082521097
42.5409822437, -83.120484991, 196.095710024
42.5409723165, -83.1204846759, 196.098250189
42.5409703044, -83.1204844989, 196.102146151
42.5409754406, -83.1204847842, 196.107696873
42.5409776713, -83.1204851426, 196.105340463
42.5409778189, -83.1204853295, 196.101826702
42.5409781342, -83.1204851873, 196.100183942
42.5409780237, -83.1204854704, 196.097910038
42.5409780309, -83.1204853345, 196.093780733
42.5409780427, -83.120485321, 196.083156511
42.5409778195, -83.1204853875, 195.954010979
42.5409780199, -83.120485966, 195.983217293
42.5409777119, -83.1204859861, 195.993481337
42.5409775596, -83.1204858409, 195.997396238
42.5409779623, -83.1204858387, 195.999432091
42.5409781609, -83.120486158, 196.000161481
42.5409783196, -83.1204863188, 196.00087891
42.5409783875, -83.1204858549, 196.002162564
42.5409773167, -83.1204859602, 196.003557191
42.540971382, -83.12048561, 196.000939862
42.5409542474, -83.1204847734, 195.985165612
42.540923135, -83.1204830764, 195.84271436
42.5408878196, -83.1204808993, 195.856748103
42.5408563237, -83.1204795905, 195.743486921
42.5408351046, -83.1204786541, 195.795646438
42.5408168965, -83.1204780877, 195.941486968
42.5407971826, -83.1204773324, 195.916982649
42.5407775307, -83.1204761902, 195.908754596
42.5407572758, -83.1204754717, 195.907661687
42.5407348837, -83.1204746094, 195.910048213
42.5407009698, -83.1204731232, 195.905949921
42.5406560575, -83.1204707052, 195.900450004
42.5406033274, -83.1204685406, 195.896768698
42.5405443994, -83.1204671603, 195.89317613
42.5404804465, -83.1204658515, 195.886981257
42.5404204749, -83.1204643343, 195.883872609
42.5403674631, -83.1204622119, 195.876987791
42.5403197865, -83.1204610641, 195.750177389
42.5402809637, -83.1204604649, 195.78437265
42.5402473748, -83.1204598199, 195.799423286
42.5402134256, -83.1204596367, 195.803296809
42.5401742906, -83.1204597832, 195.79773852
42.5401302478, -83.1204593469, 195.784761482
42.5400922069, -83.1204580583, 195.771417101
42.5400715603, -83.1204568941, 195.65280166
42.5400626699, -83.1204561091, 195.692999425
42.5400496227, -83.120455627, 195.702012317
42.5400322656, -83.1204553054, 195.700960758
42.5400137115, -83.1204545305, 195.699557071
42.5399950534, -83.1204541655, 195.698580051
42.5399738147, -83.120454013, 195.693496143
42.5399572457, -83.1204540242, 195.69206407
42.5399502505, -83.1204538296, 195.69473839
42.5399474825, -83.120453952, 195.689246642
42.5399420607, -83.1204540162, 195.559603321
42.5399325914, -83.1204539831, 195.584914812
42.5399197205, -83.1204539944, 195.591176993
42.5399064738, -83.1204537007, 195.592090312
42.5399005615, -83.1204535221, 195.598689917
42.5399009001, -83.1204533241, 195.608882068
42.5399028856, -83.1204531539, 195.623130135
42.5399005846, -83.1204532691, 195.750206057
42.5398935519, -83.1204533387, 195.71766802
42.5398852422, -83.1204530693, 195.706795111
42.539883965, -83.1204531638, 195.71720394
42.5398855984, -83.1204527982, 195.846512277
