lat,lon,alt,x_vel,y_vel,z_vel,x_accel,y_accel,z_accel
42.33104067,-83.03934367,184.9,4.789810854,-4.720987962,0.1,2.828041157,2.576060411,0.1
42.331016,-83.0394035,184.9,3.075079505,-4.107518532,0,-1.714731349,0.61346943,-0.1
42.33100067,-83.03944417,184.9,-3.117004173,-0.482032439,0,-6.192083677,3.625486093,0
42.3309935,-83.03946633,184.9,0.317862381,1.522859018,0,3.434866554,2.004891456,0
42.3309905,-83.03947717,185.1,0.336713269,0.653494984,0.2,0.018850888,-0.869364034,0.2
42.330987,-83.039486,185.2,-0.103818411,0.768803456,0.1,-0.44053168,0.115308472,-0.1
42.33098417,-83.03949333,185.2,-0.182696824,0.562153481,0,-0.078878413,-0.206649975,-0.1
42.3309815,-83.03949967,185.2,-0.505022784,0.286860733,0,-0.32232596,-0.275292748,0
42.3309795,-83.039504,185.2,-0.161945016,0.26759365,0,0.343077768,-0.019267083,0
42.3309785,-83.0395065,185.2,0.079184511,0.165709161,0,0.241129527,-0.101884489,0
42.33097767,-83.03950817,185.1,0,0,-0.1,0,0,-0.1
42.33097717,-83.03950883,185.1,0,0,0,0,0,0.1
42.3309765,-83.03950883,185.1,0,0,0,0,0,0
42.33097617,-83.039509,185.1,0,0,0,0,0,0
42.33097583,-83.0395095,185.1,0,0,0,0,0,0
42.33097567,-83.0395095,185.1,0,0,0,0,0,0
42.33097517,-83.03950917,185,0,0,-0.1,0,0,-0.1
42.330975,-83.0395085,184.7,0,0,-0.3,0,0,-0.2
42.3309765,-83.03950917,184.5,0,0,-0.2,0,0,0.1
42.33097817,-83.03950983,184.3,0,0,-0.2,0,0,0
42.3309795,-83.0395105,184.1,0,0,-0.2,0,0,0
42.3309805,-83.03951117,184,0,0,-0.1,0,0,0.1
42.33098,-83.03951217,183.9,0,0,-0.1,0,0,0
42.3309785,-83.03951417,184.1,0,0,0.2,0,0,0.3
42.33097617,-83.03951883,184.3,-0.513951651,-0.183789888,0.2,0,0,0
42.33097083,-83.039531,184.3,0.507191461,-1.297507002,0,1.021143112,-1.113717114,-0.2
42.3309615,-83.03955417,184.3,1.186601276,-2.210604971,0,0.679409815,-0.913097969,0
42.3309475,-83.03958917,184.2,2.429586792,-2.594245745,-0.1,1.242985516,-0.383640775,-0.1
42.33093133,-83.03962817,184.2,3.658664843,1.059349427,0,1.229078051,3.653595172,0.1
42.33091317,-83.03966967,184,2.967089163,2.830472384,-0.2,-0.69157568,1.771122957,-0.2
42.330892,-83.0397175,183.9,1.140552201,4.486254251,-0.1,-1.826536961,1.655781866,0.1
42.33086817,-83.039771,184,2.410862285,4.758379737,0.1,1.270310084,0.272125487,0.2
42.330844,-83.03982783,184,5.161854854,-1.586359382,0,2.750992569,-6.34473912,-0.1
42.3308185,-83.03989167,183.9,-3.049972758,-5.359581875,-0.1,-8.211827612,-3.773222493,-0.1
42.33079017,-83.03997283,184.1,4.362236422,6.575070158,0.2,7.41220918,11.93465203,0.3
42.3307595,-83.04007533,184.2,-3.246412541,-9.056874769,0.1,-7.608648963,-15.63194493,-0.1
42.33072517,-83.04019333,184.2,-1.867501323,-10.61300499,0,1.378911217,-1.556130221,-0.1
42.33068817,-83.04031717,184.2,1.719438478,-10.94534759,0,3.586939801,-0.332342596,0
42.33064833,-83.04043733,184.3,4.838057206,9.624917664,0.1,3.118618729,20.57026525,0.1
42.33060567,-83.0405415,184.3,7.473065128,5.702760714,0,2.635007922,-3.92215695,-0.1
42.33056917,-83.04063517,184.3,-8.163406335,-2.114317911,0,-15.63647146,-7.817078625,0
42.3305385,-83.040722,184.3,-4.189345519,6.475548315,0,3.974060816,8.589866226,0
42.33051183,-83.04080133,184.2,5.927772266,3.59388126,-0.1,10.11711779,-2.881667056,-0.1
42.33049033,-83.04087333,184.2,6.083128199,0.091395577,0,0.155355933,-3.502485682,0.1
42.330473,-83.04093183,184.2,1.488868055,-4.55650845,0,-4.594260144,-4.647904027,0
42.3304635,-83.040982,184.2,-0.04455411,-4.052030448,0,-1.533422165,0.504478002,0
42.33046717,-83.04102917,184.3,-2.735182605,-2.756926118,0.1,-2.690628495,1.29510433,0.1
42.33048317,-83.041067,184.3,0.064964987,3.797584417,0,2.800147592,6.554510535,-0.1
42.3305115,-83.0410955,184.5,-2.995205825,2.78108191,0.2,-3.060170813,-1.016502507,0.2
42.3305465,-83.041119,184.4,-2.977287851,-3.563907143,-0.1,0.017917974,-6.344989052,-0.3
42.33057167,-83.041118,184.3,1.316630237,-2.546213599,-0.1,4.293918088,1.017693544,0
42.33062367,-83.04113717,184.5,-2.931854529,4.72672696,0.2,-4.248484766,7.272940559,0.3
42.33067367,-83.04117367,184.6,5.472364486,-3.721371329,0.1,8.404219016,-8.448098289,-0.1
42.33073483,-83.04119917,184.3,-6.031919607,2.955556671,-0.3,-11.50428409,6.676928,-0.4
42.33080467,-83.0412555,184.3,2.318680413,6.391842287,0,8.35060002,3.436285617,0.3
42.330858,-83.04131317,184.1,-3.793175547,-5.282230083,-0.2,-6.11185596,-11.67407237,-0.2
42.3308985,-83.04136167,184.3,-4.031195366,-2.786625379,0.2,-0.238019819,2.495604704,0.4
42.3309005,-83.0414175,184.5,-2.234644162,0.08573093,0.2,1.796551204,2.872356309,0
42.330894,-83.04144217,189.3,0,0,4.8,0,0,4.6
42.33089183,-83.0414565,193.6,0,0,4.3,0,0,-0.5
42.330887,-83.0414405,195.7,0,0,2.1,0,0,-2.2
42.33088467,-83.04143467,196.3,0,0,0.6,0,0,-1.5
42.33088833,-83.041439,196.5,0,0,0.2,0,0,-0.4
42.3308845,-83.04143583,195.8,0,0,-0.7,0,0,-0.9
42.330887,-83.04143467,197,0,0,1.2,0,0,1.9
42.330888,-83.04143483,197.3,0,0,0.3,0,0,-0.9
42.3308895,-83.0414295,197.6,0,0,0.3,0,0,0
42.330891,-83.04143117,197.9,0,0,0.3,0,0,0
42.33089217,-83.04143017,197.8,0,0,-0.1,0,0,-0.4
42.33089417,-83.0414315,198.1,0,0,0.3,0,0,0.4
42.330894,-83.04143033,198,0,0,-0.1,0,0,-0.4
42.330894,-83.04142983,198.1,0,0,0.1,0,0,0.2
42.330894,-83.04143183,198.2,0,0,0.1,0,0,0
42.33089417,-83.04143133,198.1,0,0,-0.1,0,0,-0.2
42.33089467,-83.04142983,198.1,0,0,0,0,0,0.1
42.33089483,-83.041425,198.1,0,0,0,0,0,0
42.3308945,-83.041424,198.3,0,0,0.2,0,0,0.2
42.33089483,-83.0414195,198.5,0,0,0.2,0,0,0
42.33089467,-83.04141683,198.6,0,0,0.1,0,0,-0.1
42.330895,-83.04141217,198.8,0,0,0.2,0,0,0.1
42.33089583,-83.0414045,199,0,0,0.2,0,0,0
42.330896,-83.04139617,199.5,0,0,0.5,0,0,0.3
42.33089633,-83.04139067,199.9,0,0,0.4,0,0,-0.1
42.33089617,-83.04138517,200.2,0,0,0.3,0,0,-0.1
42.33089567,-83.0413805,200.8,0,0,0.6,0,0,0.3
42.33089567,-83.04137083,201.5,0,0,0.7,0,0,0.1
42.3308955,-83.041356,202.4,0.230242392,0.374170867,0.9,0,0,0.2
42.33089533,-83.0413585,203.7,0,0,1.3,0,0,0.4
42.33089683,-83.04134633,204.1,0,0,0.4,0,0,-0.9
42.33089683,-83.0413305,204.9,0,0,0.8,0,0,0.4
42.33089617,-83.0413245,205.8,0,0,0.9,0,0,0.1
42.3308955,-83.041319,206.3,0,0,0.5,0,0,-0.4
42.33089433,-83.041313,206.8,0,0,0.5,0,0,0
42.33089233,-83.04131,207.5,0,0,0.7,0,0,0.2
42.33089,-83.0413045,208.4,0,0,0.9,0,0,0.2
42.330888,-83.04130083,209.5,0,0,1.1,0,0,0.2
42.33088583,-83.041295,210.4,0,0,0.9,0,0,-0.2
42.33088517,-83.04129483,211.6,0,0,1.2,0,0,0.3
42.33089367,-83.0413,212.5,-0.846082854,0.863532251,0.9,0,0,-0.3
42.33091817,-83.04131317,212.6,-2.675198229,-0.137117483,0.1,-1.829115375,-1.000649734,-0.8
42.33095317,-83.04132933,211.1,3.972840826,-0.889999657,-1.5,6.648039055,-0.752882174,-1.6
42.33099617,-83.04135167,209.9,2.413591535,4.622764788,-1.2,-1.559249291,5.512764445,0.3
42.33104517,-83.0413775,209.1,0.963379552,5.92524038,-0.8,-1.450211983,1.302475592,0.4
42.33110033,-83.04141067,208.7,-4.176601637,5.507513477,-0.4,-5.139981189,-0.417726903,0.4
42.33116383,-83.04144583,208.6,-1.932116553,7.60416168,-0.1,2.244485084,2.096648203,0.3
42.33123417,-83.04148683,208.5,7.373376308,4.316400003,-0.1,9.305492861,-3.287761678,0
42.331306,-83.041529,207.8,8.265005635,3.490663511,-0.7,0.891629327,-0.825736491,-0.6
42.331377,-83.04157183,208.2,8.299075927,2.382999645,0.4,0.034070291,-1.107663867,1.1
42.33144583,-83.04161333,208.4,7.552331334,-3.55901919,0.2,-0.746744593,-5.942018834,-0.2
42.33151333,-83.04165467,208.5,4.657083162,-6.657396681,0.1,-2.895248173,-3.098377492,-0.1
42.33157583,-83.04169383,208.4,7.525823799,-0.682060219,-0.1,2.868740637,5.975336462,-0.2
42.3316285,-83.04172883,208.7,5.911805993,1.697518098,0.3,-1.614017806,2.379578317,0.4
42.33166633,-83.04175767,208.8,3.009549837,2.858241393,0.1,-2.902256156,1.160723295,-0.2
42.33168567,-83.04178383,208.5,2.244552324,0.73494401,-0.3,-0.764997513,-2.123297383,-0.4
42.33169533,-83.04178817,208.4,0.846930331,-0.815922585,-0.1,-1.397621993,-1.550866595,0.2
42.3316985,-83.04178717,208.7,0,0,0.3,0,0,0.4
42.33169867,-83.04179433,209.1,0,0,0.4,0,0,0.1
42.33169917,-83.0417975,209.1,0,0,0,0,0,-0.4
42.33169883,-83.041806,209.1,0,0,0,0,0,0
42.33169817,-83.0418125,209.1,0,0,0,0,0,0
42.3316975,-83.04181783,209.2,0,0,0.1,0,0,0.1
42.331697,-83.04182283,209.2,0,0,0,0,0,-0.1
42.33169683,-83.04182667,209.3,0,0,0.1,0,0,0.1
42.33169667,-83.04183183,209.2,0,0,-0.1,0,0,-0.2
42.33169617,-83.04183917,209.1,0,0,-0.1,0,0,0
42.33169533,-83.04184167,209.1,0,0,0,0,0,0.1
42.33169483,-83.04184167,209.3,0,0,0.2,0,0,0.2
42.33169417,-83.04184283,209.6,0,0,0.3,0,0,0.1
42.3316935,-83.04184517,209.8,0,0,0.2,0,0,-0.1
42.33169283,-83.04184717,209.9,0,0,0.1,0,0,-0.1
42.33169233,-83.04184867,210,0,0,0.1,0,0,0
42.33169183,-83.0418485,210.1,0,0,0.1,0,0,0
42.33169167,-83.041848,210.3,0,0,0.2,0,0,0.1
42.33169117,-83.04184767,210.4,0,0,0.1,0,0,-0.1
42.331691,-83.04184417,210.6,0,0,0.2,0,0,0.1
42.33169083,-83.04184017,210.8,0,0,0.2,0,0,0
42.33169067,-83.04183533,211.1,0,0,0.3,0,0,0.1
42.33169117,-83.0418315,211.4,0,0,0.3,0,0,0
42.3316915,-83.0418285,211.7,0,0,0.3,0,0,0
42.33169183,-83.04182717,211.9,0,0,0.2,0,0,-0.1
42.33169183,-83.04182567,212,0,0,0.1,0,0,-0.1
42.331692,-83.0418265,212.1,0,0,0.1,0,0,0
42.33169217,-83.04182833,212.1,0,0,0,0,0,-0.1
42.33169733,-83.0418285,212.2,-0.574704307,-0.585660195,0.1,0,0,0.1
42.331709,-83.04184183,212.5,0.734767531,-1.718483174,0.3,1.309471838,-1.13282298,0.2
42.3317265,-83.0418595,212.4,-2.58781038,0.229218475,-0.1,-3.322577911,1.947701649,-0.4
42.33173917,-83.0418955,212.3,0.517239447,-3.466530865,-0.1,3.105049827,-3.69574934,0
42.33173667,-83.04195,212.2,-4.244116257,1.160958692,-0.1,-4.761355703,4.627489557,0
42.33172133,-83.04202533,212.4,0.770820487,-5.941940373,0.2,5.014936743,-7.102899065,0.3
42.33169183,-83.04209833,212.2,-6.943129836,0.393187821,-0.2,-7.713950323,6.335128194,-0.4
42.33165633,-83.04217567,212.2,-3.020644942,7.123799078,0,3.922484894,6.730611257,0.2
42.33161967,-83.042262,212,6.844193845,4.905147637,-0.2,9.864838787,-2.218651441,-0.2
42.331581,-83.0423515,212.1,3.814237116,7.71875173,0.1,-3.02995673,2.813604093,0.3
42.33154217,-83.04243983,212,2.252299599,8.171252802,-0.1,-1.561937516,0.452501072,-0.2
42.3315055,-83.04252017,211.9,3.461327692,6.831709823,-0.1,1.209028093,-1.33954298,0
42.33147367,-83.04259133,212,3.271301459,5.727274001,0.1,-0.190026233,-1.104435821,0.2
42.33144667,-83.04264633,212,-0.520216091,5.130996965,0,-3.79151755,-0.596277036,-0.1
42.33142633,-83.04268183,212.2,-1.210663927,3.206270484,0.2,-0.690447836,-1.924726481,0.2
42.33141683,-83.042702,212.6,-0.760228921,1.294409549,0.4,0.450435006,-1.911860935,0.2
42.33141433,-83.04270967,212.6,0,0,0,0,0,-0.4
42.33141417,-83.042712,212.6,0,0,0,0,0,0
42.33141317,-83.0427125,212.5,0,0,-0.1,0,0,-0.1
42.3314125,-83.04271517,212.6,0,0,0.1,0,0,0.2
42.331413,-83.04271783,212.4,0,0,-0.2,0,0,-0.3
42.33141467,-83.04272,212.2,0,0,-0.2,0,0,0
42.33141533,-83.04272183,212,0,0,-0.2,0,0,0
42.33141633,-83.04272333,211.8,0,0,-0.2,0,0,0
42.33141717,-83.042726,211.6,0,0,-0.2,0,0,0
42.3314175,-83.04272833,211.3,0,0,-0.3,0,0,-0.1
42.3314185,-83.0427295,211.1,0,0,-0.2,0,0,0.1
42.33141967,-83.04273067,210.9,0,0,-0.2,0,0,0
42.33142017,-83.04273183,210.8,0,0,-0.1,0,0,0.1
42.33142117,-83.04273167,210.6,0,0,-0.2,0,0,-0.1
42.33142267,-83.04273267,210.6,0,0,0,0,0,0.2
42.33142383,-83.04273383,210.3,0,0,-0.3,0,0,-0.3
42.33142467,-83.0427345,210,0,0,-0.3,0,0,0
42.33142467,-83.04273567,209.8,0,0,-0.2,0,0,0.1
42.33142317,-83.042741,209.7,0.055450587,0.558512514,-0.1,0,0,0.1
42.33141667,-83.042754,209.6,0.166893341,-1.518756396,-0.1,0.111442754,-2.07726891,0
