time,lat,lon,alt,vel m/s,Hav.Heading,Yaw Rads/sec,Yaw Rate/s2
20151020:102023.23,42.5452815,-83.1206495,197.7,13.7145626,179.5490669,0.003648095,0.018240477
20151020:102023.23,42.54515933,-83.12064867,197.7,13.53090609,179.7132196,0.01432502,0.071625102
20151020:102023.23,42.545037,-83.12064717,197.6,13.61476046,179.4824088,-0.020142044,-0.100710222
20151020:102023.23,42.544913,-83.120645,197.6,13.84883248,179.2613218,-0.01929348,-0.096467398
20151020:102024.24,42.54478633,-83.1206415,197.6,14.16521554,178.8337907,-0.037309122,-0.186545608
20151020:102024.24,42.544657,-83.120637,197.6,14.46359306,178.531543,-0.026376089,-0.131880444
20151020:102024.24,42.54452517,-83.1206325,197.6,14.73676282,178.5593757,0.002428858,0.012144289
20151020:102024.24,42.54439067,-83.120628,197.6,15.02485146,178.5879592,0.002494384,0.012471918
20151020:102024.24,42.54425383,-83.120623,197.6,15.29390568,178.4579517,-0.011345291,-0.056726456
20151020:102025.25,42.54411617,-83.12061883,197.6,15.30985344,178.7214931,0.022998326,0.114991629
20151020:102025.25,42.543979,-83.120615,197.6,15.21262352,178.8215092,0.008728047,0.043640233
20151020:102025.25,42.54384233,-83.12061183,197.5,15.15449135,179.0209777,0.017406915,0.087034576
20151020:102025.25,42.54370583,-83.12060983,197.5,15.17455467,179.3815135,0.031462684,0.157313422
20151020:102025.25,42.54356883,-83.12060667,197.4,15.22702795,179.0264116,-0.03098849,-0.154942448
20151020:102026.26,42.54343183,-83.12060183,197.4,15.24349016,178.5089975,-0.045152899,-0.225764494
20151020:102026.26,42.5432945,-83.12059717,197.3,15.24914905,178.5678694,0.005137544,0.025687718
20151020:102026.26,42.54315733,-83.1205925,197.3,15.22342685,178.5631209,-0.000414383,-0.002071916
20151020:102026.26,42.54302033,-83.1205865,197.3,15.26201015,178.1518615,-0.035889156,-0.179445778
20151020:102026.26,42.54288217,-83.12058167,197.3,15.40193891,178.5245509,0.032523282,0.162616412
20151020:102027.27,42.54274233,-83.120577,197.1,15.58199431,178.5905351,0.005758209,0.028791044
20151020:102027.27,42.54260067,-83.12057167,197,15.82789855,178.412089,-0.015572361,-0.077861807
20151020:102027.27,42.54245983,-83.12056817,197,15.58199431,178.951057,0.047033833,0.235169167
20151020:102027.27,42.54232133,-83.12056467,196.9,15.28773235,178.9333365,-0.001546407,-0.007732035
20151020:102027.27,42.54218883,-83.1205595,196.8,14.49291637,178.3532968,-0.050618013,-0.253090063
20151020:102028.28,42.54206833,-83.12055333,196.7,12.8868222,177.8395047,-0.044836815,-0.224184074
20151020:102028.28,42.54196583,-83.12054283,196.7,10.78326069,175.6837695,-0.188123389,-0.940616946
20151020:102028.28,42.54187917,-83.12052917,196.7,9.211634264,173.3754987,-0.201434629,-1.007173145
20151020:102028.28,42.54180633,-83.12051817,196.7,7.669845596,173.6510338,0.024044978,0.120224892
20151020:102028.28,42.54174617,-83.12051133,196.6,6.287534568,175.2115074,0.136177006,0.680885029
20151020:102029.29,42.54169783,-83.1205075,196.7,4.983933472,176.659102,0.126326461,0.631632305
20151020:102029.29,42.54165983,-83.12050483,196.7,3.90205774,177.0365057,0.03293469,0.164673452
20151020:102029.29,42.541628,-83.12050283,196.7,3.388642628,177.3493795,0.027303389,0.136516943
20151020:102029.29,42.54160067,-83.1205015,196.7,2.903007492,177.9465205,0.052110384,0.260551921
20151020:102029.29,42.54157983,-83.1205005,196.6,2.056232668,177.9751822,0.002501206,0.01250603
20151020:102030.30,42.54156533,-83.12049983,196.6,1.419350996,178.0501388,0.00654119,0.03270595
20151020:102030.30,42.54155333,-83.12049933,196.6,1.299485544,178.2416025,0.01670836,0.083541799
20151020:102030.30,42.54154017,-83.120499,196.6,1.50732092,178.9415425,0.06108129,0.305406451
20151020:102030.30,42.5415225,-83.1204985,196.5,2.166838128,178.8056395,-0.011859776,-0.05929888
20151020:102030.30,42.54150033,-83.12049767,196.5,2.578393328,178.4199627,-0.033656648,-0.168283238
20151020:102031.31,42.541482,-83.12049717,196.4,1.824732868,178.8486317,0.037408427,0.187042135
20151020:102031.31,42.5414725,-83.12049683,196.4,0.75108824,178.4895028,-0.03133991,-0.156699552
20151020:102031.31,42.54146733,-83.12049683,196.4,0.493351796,178.4895028,0,0
20151020:102031.31,42.54146117,-83.12049683,196.4,0.767550448,178.4895028,0,0
20151020:102031.31,42.54145417,-83.12049667,196.3,0.780411548,179.0351801,0.047619328,0.238096638
20151020:102032.32,42.541449,-83.12049667,196.3,0.456311828,179.0351801,0,0
20151020:102032.32,42.54144617,-83.12049667,196.3,0.238702016,179.0351801,0,0
20151020:102032.32,42.541445,-83.12049683,196.3,0,185.7535558,0.58628888,2.931444402
20151020:102032.32,42.54144467,-83.12049717,196.3,0,217.2026921,2.744454885,13.72227443
20151020:102032.32,42.54144467,-83.1204975,196.3,0,270,4.607434291,23.03717145
20151020:102033.33,42.5414445,-83.12049783,196.3,0,235.0393282,-3.050894161,-15.2544708
20151020:102033.33,42.54144433,-83.12049833,196.3,0,245.228463,0.88916975,4.445848748
20151020:102033.33,42.54144333,-83.1204985,196.3,0,187.1393472,-5.06923165,-25.34615825
20151020:102033.33,42.54144,-83.12049883,196.3,0.466086264,184.1760453,-0.258596873,-1.292984363
20151020:102033.33,42.5414305,-83.1204985,196.3,1.305144428,178.5339085,-0.492369322,-2.461846612
20151020:102034.34,42.54141033,-83.120498,196.3,2.596398868,178.9536391,0.036628408,0.183142038
20151020:102034.34,42.54138067,-83.120497,196.3,3.607281328,178.5769982,-0.032868115,-0.164340573
20151020:102034.34,42.54134367,-83.12049583,196.3,4.330075148,178.6653367,0.007708983,0.038544913
20151020:102034.34,42.54130533,-83.12049467,196.3,4.210209696,178.7229721,0.005029643,0.025148215
20151020:102034.34,42.54126817,-83.12049333,196.3,4.108349784,178.4780738,-0.021371416,-0.106857081
20151020:102035.35,42.5412285,-83.12049183,196.2,4.525563868,178.4041808,-0.006448376,-0.032241882
20151020:102035.35,42.54118383,-83.12049033,196.2,5.168104424,178.5827255,0.015580963,0.077904813
20151020:102035.35,42.5411375,-83.12048917,196.2,5.173248864,178.9431484,0.031452833,0.157264164
20151020:102035.35,42.5410925,-83.120488,196.2,4.923743524,178.9025414,-0.003543625,-0.017718124
20151020:102035.35,42.54105433,-83.12048717,196.1,3.9740799,179.0821178,0.015670996,0.07835498
20151020:102036.36,42.54102517,-83.12048633,196.1,2.923585252,178.7841082,-0.026006246,-0.13003123
20151020:102036.36,42.54100383,-83.12048567,196.1,2.135457044,178.6946022,-0.007810875,-0.039054374
20151020:102036.36,42.540988,-83.12048517,196.1,1.583458632,178.666849,-0.002421917,-0.012109583
20151020:102036.36,42.54097917,-83.12048483,196.1,0.701187172,178.3749362,-0.025474203,-0.127371016
20151020:102036.36,42.54097767,-83.12048483,196.1,0,178.3749362,0,0
20151020:102037.37,42.54097783,-83.120485,196.1,0,321.944611,12.52881766,62.64408829
20151020:102037.37,42.54097783,-83.12048517,196.1,0,270,-4.533022452,-22.66511226
20151020:102037.37,42.540978,-83.12048517,196.1,0,270,0,0
20151020:102037.37,42.540978,-83.12048533,196.1,0,270,0,0
20151020:102037.37,42.540978,-83.12048533,196.1,0,270,0,0
20151020:102038.38,42.540978,-83.12048533,196.1,0,270,0,0
20151020:102038.38,42.540978,-83.12048533,196,0,270,0,0
20151020:102038.38,42.540978,-83.12048567,196,0,270,0,0
20151020:102038.38,42.54097783,-83.12048583,196,0,214.7394963,-4.82238868,-24.1119434
20151020:102038.38,42.54097767,-83.12048583,196,0,214.7394963,0,0
20151020:102039.39,42.54097783,-83.12048583,196,0,214.7394963,0,0
20151020:102039.39,42.540978,-83.120486,196,0,323.6174384,9.501392862,47.50696431
20151020:102039.39,42.54097817,-83.12048617,196,0,323.6174351,-2.82E-07,-1.41E-06
20151020:102039.39,42.54097833,-83.120486,196,0,38.05538989,-24.91998954,-124.5999477
20151020:102039.39,42.540978,-83.120486,196,0,38.05538989,0,0
20151020:102040.40,42.540975,-83.12048583,196,0.456311828,177.6091948,12.17836689,60.89183447
20151020:102040.40,42.54096483,-83.12048533,196,1.418836552,177.9254305,0.02759677,0.137983851
20151020:102040.40,42.54094383,-83.12048417,195.9,2.69825878,177.6693986,-0.022342995,-0.111714975
20151020:102040.40,42.54091533,-83.1204825,195.9,3.392243736,177.527871,-0.012350609,-0.061753045
20151020:102040.40,42.5408855,-83.120481,195.8,3.281123832,177.878179,0.030570137,0.152850684
20151020:102041.41,42.54086033,-83.12047983,195.8,2.576849996,178.0384362,0.01398508,0.069925399
20151020:102041.41,42.54083867,-83.120479,195.9,2.352552412,178.382762,0.030048093,0.150240465
20151020:102041.41,42.540818,-83.12047817,195.9,2.257894716,178.3053471,-0.006755723,-0.033778613
20151020:102041.41,42.54079783,-83.12047717,195.9,2.255322496,177.9079552,-0.034678989,-0.173394943
20151020:102041.41,42.54077767,-83.12047633,195.9,2.236288068,178.2415806,0.029114312,0.145571562
20151020:102042.42,42.54075667,-83.1204755,195.9,2.38959238,178.3319606,0.007887139,0.039435693
20151020:102042.42,42.540729,-83.12047433,195.9,3.368064868,178.2155406,-0.010159561,-0.050797805
20151020:102042.42,42.5406925,-83.1204725,195.9,4.353739572,177.8844102,-0.028896578,-0.144482892
20151020:102042.42,42.54064783,-83.1204705,195.9,5.240641028,178.1105841,0.019737396,0.098686981
20151020:102042.42,42.540596,-83.12046883,195.9,5.997902596,178.6400434,0.046204043,0.231020216
20151020:102043.43,42.54053783,-83.12046733,195.9,6.660506468,178.9115419,0.023692716,0.118463579
20151020:102043.43,42.54047883,-83.12046583,195.9,6.479936624,178.9268495,0.001335839,0.006679195
20151020:102043.43,42.540423,-83.120464,195.9,6.112623608,178.6165241,-0.027081003,-0.135405014
20151020:102043.43,42.54037133,-83.1204625,195.8,5.568341856,178.7746519,0.013799252,0.068996262
20151020:102043.43,42.54032617,-83.1204615,195.8,4.776098096,179.0652817,0.025362234,0.126811168
20151020:102044.44,42.540287,-83.12046067,195.8,4.145389752,179.1055363,0.003512876,0.017564381
20151020:102044.44,42.5402505,-83.12046017,195.8,4.024495412,179.4217227,0.027592472,0.13796236
20151020:102044.44,42.5402125,-83.12046,195.8,4.297665176,179.811141,0.033983154,0.169915768
20151020:102044.44,42.540171,-83.12045967,195.8,4.75346256,179.6643125,-0.0128132,-0.064066
20151020:102044.44,42.540131,-83.12045883,195.8,4.3341907,179.1135398,-0.048063982,-0.24031991
20151020:102045.45,42.54010133,-83.12045783,195.7,2.830470888,178.5774485,-0.046782793,-0.233913964
20151020:102045.45,42.5400825,-83.120457,195.7,1.766086252,178.139841,-0.038188462,-0.190942309
20151020:102045.45,42.54006633,-83.12045633,195.7,1.82113176,178.2513417,0.009730275,0.048651374
20151020:102045.45,42.54004933,-83.12045583,195.7,1.919390564,178.7585528,0.044262514,0.221312571
20151020:102045.45,42.5400315,-83.12045517,195.7,1.989354948,178.4377152,-0.027998363,-0.139991815
20151020:102046.46,42.54001333,-83.12045467,195.7,2.041313792,178.8384685,0.034972329,0.174861646
20151020:102046.46,42.53999333,-83.12045433,195.7,2.305738008,179.2823681,0.038737542,0.193687711
20151020:102046.46,42.539975,-83.12045417,195.7,1.914760568,179.6315087,0.030468271,0.152341353
20151020:102046.46,42.53996267,-83.120454,195.7,1.12148792,179.4179682,-0.018634923,-0.093174616
20151020:102046.46,42.53995533,-83.120454,195.7,0.675464972,179.4179682,0,0
20151020:102047.47,42.539949,-83.120454,195.6,0.718163824,179.4179682,0,0
20151020:102047.47,42.53994083,-83.120454,195.6,1.011911348,179.4179682,0,0
20151020:102047.47,42.53993017,-83.120454,195.6,1.23723782,179.4179682,0,0
20151020:102047.47,42.539918,-83.12045383,195.6,1.383339916,179.4103164,-0.00066775,-0.003338752
20151020:102047.47,42.53990917,-83.12045367,195.6,0.812307076,179.2350913,-0.015291274,-0.07645637
20151020:102048.48,42.53990517,-83.1204535,195.6,0.307123068,178.2064099,-0.089769391,-0.448846953
20151020:102048.48,42.53990433,-83.12045333,195.6,0,171.5187969,-0.583604325,-2.918021626
20151020:102048.48,42.5399025,-83.12045333,195.7,0.276770872,171.5187969,0,0
20151020:102048.48,42.539898,-83.12045333,195.7,0.594697264,171.5187969,0,0
20151020:102048.48,42.53989133,-83.12045317,195.7,0.780925992,178.9874297,0.651761165,3.258805825
20151020:102049.49,42.53988767,-83.12045317,195.7,0.262880884,178.9874297,0,0
20151020:102049.49,42.53988667,-83.120453,195.8,0,172.8604761,-0.534677567,-2.673387837
20151020:102049.49,42.53988617,-83.120453,195.8,0,172.8604761,0,0
20151020:102049.49,42.53988617,-83.120453,195.8,0,172.8604761,0,0
20151020:102049.49,42.539886,-83.120453,195.7,0,172.8604761,0,0
20151020:102050.50,42.539886,-83.120453,195.7,0,172.8604761,0,0
20151020:102050.50,42.539886,-83.120453,195.7,0,172.8604761,0,0
20151020:102050.50,42.53988617,-83.12045283,195.7,0,36.38304007,-11.90990307,-59.54951534
20151020:102050.50,42.53988617,-83.12045267,195.7,0,90,4.678962428,23.39481214
20151020:102050.50,42.53988483,-83.12045267,195.7,0.2314998,90,0,0
20151020:102052.52,42.53988083,-83.12045267,195.7,0.544796196,90,0,0
20151020:102052.52,42.53987417,-83.12045233,195.7,0.821567068,177.8458479,7.665996403,38.32998201
20151020:102052.52,42.5398655,-83.120452,195.7,1.058725752,178.3935861,0.04779917,0.238995849
20151020:102052.52,42.53985483,-83.12045117,195.7,1.241353372,176.7196869,-0.146075263,-0.730376314
20151020:102052.52,42.53984217,-83.1204505,195.6,1.470280952,177.7669538,0.09139128,0.456956399
20151020:102053.53,42.539828,-83.12044967,195.6,1.640561916,177.5287567,-0.02078662,-0.1039331
20151020:102053.53,42.5398125,-83.1204485,195.6,1.784606236,176.8166546,-0.062142631,-0.310713156
20151020:102053.53,42.53979617,-83.1204475,195.6,1.844796184,177.4165725,0.052352719,0.261763593
20151020:102053.53,42.53977967,-83.1204465,195.6,1.819073984,177.4431535,0.002319625,0.011598127
20151020:102053.53,42.53976267,-83.12044567,195.6,1.915789456,177.939754,0.043336569,0.216682846
20151020:102054.54,42.539745,-83.120445,195.6,1.968777188,178.3996957,0.04013749,0.200687451
20151020:102054.54,42.539733,-83.12044467,195.6,1.079303512,178.8392181,0.038355561,0.191777807
20151020:102054.54,42.53972767,-83.12044467,195.6,0.369370792,178.8392181,0,0
20151020:102054.54,42.53972667,-83.12044467,195.6,0,178.8392181,0,0
20151020:102054.54,42.5397265,-83.1204445,195.6,0,143.6168894,-3.073728025,-15.36864013
20151020:102055.55,42.53972633,-83.1204445,195.6,0,143.6168894,0,0
20151020:102055.55,42.53972633,-83.1204445,195.6,0,143.6168894,0,0
20151020:102055.55,42.539725,-83.1204445,195.6,0.217609812,143.6168894,0,0
20151020:102055.55,42.53972117,-83.12044433,195.6,0.501068456,178.1268488,3.011562077,15.05781038
20151020:102055.55,42.53971583,-83.12044417,195.6,0.662603872,178.7353054,0.053097858,0.265489289
20151020:102056.56,42.53970817,-83.120444,195.7,0.947605848,179.063174,0.028611927,0.143059635
20151020:102056.56,42.53969833,-83.12044383,195.7,1.166758992,179.270697,0.018109805,0.090549023
20151020:102056.56,42.5396865,-83.1204435,195.7,1.367906596,178.8225412,-0.039108978,-0.195544891
20151020:102056.56,42.5396735,-83.12044317,195.7,1.485199828,178.9284863,0.009245462,0.04622731
20151020:102056.56,42.5396595,-83.120443,195.7,1.59220418,179.4873899,0.048773534,0.243867668
20151020:102057.57,42.5396445,-83.120443,195.7,1.688405208,179.4873899,0,0
20151020:102057.57,42.53962883,-83.120443,195.7,1.766600696,179.4873899,0,0
20151020:102057.57,42.53961217,-83.12044217,195.7,1.81598732,177.8977405,-0.138723081,-0.693615405
20151020:102057.57,42.53959517,-83.12044117,195.7,1.8905817,177.5182521,-0.033116609,-0.165583046
20151020:102057.57,42.5395775,-83.1204405,195.8,1.94974276,178.3996914,0.076920093,0.384600465
20151020:102058.58,42.5395555,-83.12043983,195.8,2.61594774,178.7145422,0.027475911,0.137379556
20151020:102058.58,42.539525,-83.12043917,195.8,3.698337916,179.0865472,0.032463566,0.162317832
20151020:102058.58,42.53948683,-83.12043817,195.8,4.566204944,178.8941328,-0.016791325,-0.083956626
20151020:102058.58,42.53944667,-83.12043717,195.9,4.468975028,178.9489172,0.004780842,0.023904209
