lat,lon,alt,x_vel,y_vel,z_vel,x_accel,y_accel,z_accel
42.32709467,-83.04786767,197.2,-1.022635252,-2.056217017,0,-0.626648301,-3.722920612,0.3
42.3270805,-83.04783933,197.1,1.590316922,-2.581612331,-0.1,2.612952174,-0.525395315,-0.1
42.32707033,-83.04779883,196.8,-3.533480217,1.197078676,-0.3,-5.123797139,3.778691008,-0.2
42.3270705,-83.04774567,196.5,-4.233355735,-1.960999937,-0.3,-0.699875518,-3.158078614,0
42.32708417,-83.04768567,196.4,5.501370491,0.032099242,-0.1,9.734726226,1.99309918,0.2
42.327106,-83.04761933,196.2,2.163143727,-5.863158782,-0.2,-3.338226764,-5.895258024,-0.1
42.32713517,-83.04754767,196.1,-6.596784485,2.475092872,-0.1,-8.759928212,8.338251654,0.1
42.32716983,-83.04747067,195.6,4.219313582,-6.436386777,-0.5,10.81609807,-8.911479649,-0.4
42.32720783,-83.04738667,195.2,6.372490997,-5.373315653,-0.4,2.153177414,1.063071124,0.1
42.32724817,-83.04729633,194.9,4.64656677,-7.574315617,-0.3,-1.725924226,-2.200999964,0.1
42.32729,-83.0472005,194.8,-1.946829792,-9.145618762,-0.1,-6.593396562,-1.571303145,0.2
42.32733283,-83.04709983,194.6,-5.157383589,-8.230916242,-0.2,-3.210553798,0.91470252,-0.1
42.32737767,-83.04699633,194.3,1.597521064,-9.882795861,-0.3,6.754904654,-1.651879618,-0.1
42.32742417,-83.04688983,194.1,2.45184636,-10.00783297,-0.2,0.854325296,-0.125037107,0.1
42.32747033,-83.04678367,194,-1.810131509,-9.962171293,-0.1,-4.261977869,0.045661675,0.1
42.32751567,-83.04667817,193.9,-3.363023258,-9.515012852,-0.1,-1.552891749,0.447158441,0
42.3275625,-83.046567,193.7,-5.237091284,-9.368395827,-0.2,-1.874068026,0.146617025,-0.1
42.32761333,-83.0464485,193.7,-2.172115743,-11.3101692,0,3.064975541,-1.941773377,0.2
42.3276675,-83.04632483,193.6,2.034474998,-11.83350807,-0.1,4.206590741,-0.523338866,-0.1
42.32772367,-83.046201,193.3,9.751438582,-6.969532185,-0.3,7.716963584,4.863975886,-0.2
42.327779,-83.0460825,193.1,4.447556648,10.48051105,-0.2,-5.303881933,17.45004323,0.1
42.32782933,-83.04596933,193.2,-1.489409519,-10.58899858,0.1,-5.936966167,-21.06950963,0.3
42.32787367,-83.04586167,193.3,-8.62739217,4.927617029,0.1,-7.137982651,15.51661561,0
42.32791283,-83.0457645,193.2,-8.817476725,0.255277764,-0.1,-0.190084555,-4.672339265,-0.2
42.32794717,-83.0456805,193.1,-7.236448946,-2.246877542,-0.1,1.58102778,-2.502155307,0
42.32797517,-83.04561167,193,-6.006842937,0.840022891,-0.1,1.229606009,3.086900433,0
42.32799633,-83.04555933,192.8,-3.418344358,2.873062146,-0.2,2.588498579,2.033039255,-0.1
42.32801,-83.04552417,192.8,-2.385455764,1.525448059,0,1.032888594,-1.347614087,0.2
42.32801733,-83.04550617,192.7,-1.236908368,-0.290992982,-0.1,1.148547396,-1.816441041,-0.1
42.32801983,-83.045498,192.6,-0.467227393,-0.150210372,-0.1,0.769680975,0.140782609,0
42.32802017,-83.04549383,192.5,-0.261261416,-0.02913472,-0.1,0.205965977,0.121075653,0
42.32802,-83.04549267,192.4,0,0,-0.1,0,0,0
42.32801967,-83.04549233,192.4,0,0,0,0,0,0.1
42.3280195,-83.04549167,192.3,0,0,-0.1,0,0,-0.1
42.32801933,-83.04549117,192.3,0,0,0,0,0,0.1
42.32801883,-83.04549067,192.2,0,0,-0.1,0,0,-0.1
42.32801867,-83.04549,192.1,0,0,-0.1,0,0,0
42.32801833,-83.0454895,192.1,0,0,0,0,0,0.1
42.32801817,-83.04548933,192.1,0,0,0,0,0,0
42.32801767,-83.04548883,192.1,0,0,0,0,0,0
42.32801733,-83.0454885,192.2,0,0,0.1,0,0,0.1
42.328017,-83.04548783,192.3,0,0,0.1,0,0,0
42.3280165,-83.04548733,192.3,0,0,0,0,0,-0.1
42.32801617,-83.045487,192.4,0,0,0.1,0,0,0.1
42.32801583,-83.0454865,192.5,0,0,0.1,0,0,0
