nice_timestamp	timestamp	lat	lon	speed(m/s)	angle	alt
1	80763	42.5469276667	-83.1186538333	10.650019688	359.48	0
1	80764	42.5470091667	-83.1186558333	8.345310568	358.77	198.1
1	80765	42.5470718333	-83.1186581667	6.374475604	358.05	198.0
1	80766	42.5471145	-83.1186601667	4.057419828	358.12	197.9
1	80767	42.547144	-83.118663	2.950850784	354.62	198.0
1	80768	42.5471683333	-83.1186693333	2.693628784	346.83	198.0
1	80769	42.547194	-83.1186825	3.213217224	337.19	198.0
1	80770	42.5472231667	-83.1187076667	4.175227504	324.61	198.1
1	80771	42.5472526667	-83.1187491667	5.033320096	310.27	198.1
1	80772	42.5472773333	-83.1188081667	5.879066032	295.68	198.2
1	80773	42.5472935	-83.1188828333	6.66976646	282.97	198.3
1	80774	42.547301	-83.1189705	7.535575712	274.46	198.3
1	80775	42.5473026667	-83.1190691667	8.351483896	270.14	198.3
1	80776	42.5473011667	-83.1191768333	9.068618832	268.49	198.2
1	80777	42.5472983333	-83.1192913333	9.557855076	267.86	198.0
1	80778	42.5472963333	-83.1194093333	9.750771576	268.92	197.9
1	80779	42.5472945	-83.1195296667	9.948318072	268.85	197.9
1	80780	42.5472926667	-83.1196481667	9.67411942	268.57	198.0
1	80781	42.5472906667	-83.1197625	9.304748628	268.82	198.0
1	80782	42.5472898333	-83.1198721667	8.918401184	269.44	198.1
1	80783	42.5472893333	-83.1199711667	7.802057704	269.54	198.2
1	80784	42.5472886667	-83.120053	6.277245688	269.21	198.3
1	80785	42.5472873333	-83.1201253333	5.788009444	268.40	198.4
1	80786	42.5472865	-83.1201945	5.670201768	268.44	198.5
1	80787	42.5472846667	-83.1202615	5.43510086	267.43	198.4
1	80788	42.5472825	-83.1203263333	5.294657648	267.26	198.6
1	80789	42.5472806667	-83.1203805	4.1026909	267.34	198.6
1	80790	42.5472796667	-83.1204145	2.253779164	267.68	198.5
1	80791	42.5472796667	-83.1204306667	0.948120292	268.18	198.5
1	80792	42.5472796667	-83.1204366667	0.30094974	268.23	198.5
1	80793	42.5472795	-83.12044	0.26751088	267.85	198.5
1	80794	42.5472795	-83.1204436667	0.30609418	268.02	198.5
1	80795	42.5472795	-83.1204488333	0.490265132	268.14	198.5
1	80796	42.5472795	-83.1204585	0.928056976	268.62	198.5
1	80797	42.5472796667	-83.1204728333	1.29639888	270.54	198.5
1	80798	42.5472806667	-83.1204921667	1.755797372	273.84	198.4
1	80799	42.5472848333	-83.1205195	2.534151144	281.98	198.3
1	80800	42.5472925	-83.1205473333	2.44103678	291.64	198.2
1	80801	42.5473046667	-83.120573	2.570162224	303.86	198.2
1	80802	42.547326	-83.1206005	3.606766884	319.41	198.2
1	80803	42.5473606667	-83.1206248333	4.742659236	336.00	198.3
1	80804	42.5474051667	-83.1206453333	5.451563068	342.80	198.4
1	80805	42.547451	-83.1206633333	5.252987684	343.81	198.5
1	80806	42.547489	-83.1206803333	4.100633124	340.15	198.5
1	80807	42.5475116667	-83.1206925	2.120023724	337.16	198.5
1	80808	42.5475213333	-83.1206981667	0.771666	336.78	198.5
1	80809	42.5475248333	-83.1207001667	0.257736444	336.56	198.6
1	80810	42.5475258333	-83.1207008333	0.052473288	None	198.5
1	80811	42.5475261667	-83.1207008333	0.006173328	None	198.6
1	80812	42.547527	-83.1207015	0.139414324	336.49	198.7
1	80813	42.5475276667	-83.1207021667	0.0900277	None	198.7
1	80814	42.5475278333	-83.1207023333	0.004115552	None	198.7
1	80815	42.5475283333	-83.1207026667	0.08745548	None	198.8
1	80816	42.547531	-83.1207038333	0.41412742	339.47	198.8
1	80817	42.5475373333	-83.1207073333	0.92857142	339.21	198.9
1	80818	42.5475525	-83.1207146667	2.138543708	340.28	198.9
1	80819	42.5475743333	-83.120725	2.749188736	340.66	199.0
1	80820	42.5475925	-83.1207336667	1.879778376	340.46	199.0
1	80821	42.5476023333	-83.1207385	0.866323696	340.09	199.0
1	80822	42.5476098333	-83.1207421667	0.876612576	339.61	199.0
1	80823	42.5476186667	-83.1207466667	1.120459032	339.22	199.0
1	80824	42.5476288333	-83.120752	1.238781152	338.88	199.0
1	80825	42.5476395	-83.1207576667	1.287138888	338.20	199.0
1	80826	42.5476468333	-83.120762	0.726909372	337.68	199.0
1	80827	42.5476516667	-83.1207648333	0.531935096	337.61	199.0
1	80828	42.5476536667	-83.1207658333	0.147645428	337.61	198.9
1	80829	42.547654	-83.120766	0.00514444	None	198.9
1	80830	42.5476546667	-83.1207663333	0.135813216	335.75	198.9
1	80831	42.5476575	-83.120768	0.41927186	336.09	198.9
1	80832	42.5476663333	-83.1207731667	1.366877708	336.33	198.9
1	80833	42.5476863333	-83.1207855	2.92975858	335.53	198.9
1	80834	42.547718	-83.1208048333	4.269370756	335.87	198.9
1	80835	42.5477595	-83.1208301667	5.41195088	335.48	198.9
1	80836	42.5478056667	-83.1208593333	5.794697216	334.70	198.9
1	80837	42.5478556667	-83.1208898333	6.230431284	336.09	198.9
1	80838	42.5479108333	-83.1209191667	6.748990836	339.43	198.9
1	80839	42.5479731667	-83.1209486667	7.59062122	341.22	198.8
1	80840	42.5480435	-83.1209811667	8.513533756	341.10	198.8
1	80841	42.5481201667	-83.1210175	9.25484756	340.57	198.7
1	80842	42.5481988333	-83.1210565	9.310921956	339.65	198.6
1	80843	42.548276	-83.1210958333	9.089196592	339.09	198.6
1	80844	42.548348	-83.1211353333	8.439968264	337.38	198.5
1	80845	42.5484098333	-83.1211806667	7.581361228	328.74	198.5
1	80846	42.5484538333	-83.1212386667	6.642500928	309.66	198.5
1	80847	42.548476	-83.1213056667	5.937712648	286.94	198.5
1	80848	42.5484796667	-83.1213651667	4.554887176	268.91	198.5
